Time Stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt raw),Tbatt (℃)
0,068F,1.86,0620,14.18,04FA,46.8,069F,0.08,0663,6.74,0CDE,5027.47,0C6C,4853.48,0CDD,5025.95,0CE6,5039.68,0CE9,5044.26,0D,60.59,00,0,09,41.95,10,74.58,07,32.63,A5,4.2,080B,-29.5,C1,1.07
5,0690,1.75,0623,13.84,04F9,46.91,069F,0.08,0664,6.63,0CA8,4945.05,0C67,4845.85,0CB8,4969.47,0CAF,4955.74,0CB7,4967.95,0E,65.26,01,4.66,19,116.53,10,74.58,0A,46.61,A5,4.2,080B,-29.5,C1,1.07
10,068F,1.86,0629,13.18,04F6,47.25,069F,0.08,0664,6.63,0CD3,5010.68,0C82,4887.06,0CD2,5009.16,0CD4,5012.21,0CDD,5025.95,10,74.58,00,0,0C,55.93,0D,60.59,08,37.29,A5,4.2,0808,-20.71,C1,1.07
15,068E,1.97,062C,12.84,04F4,47.47,069F,0.08,0664,6.63,0CB7,4967.95,0C83,4888.58,0CBC,4975.58,0CB3,4961.84,0CBF,4980.16,15,97.88,02,9.32,14,93.22,0C,55.93,0B,51.27,A5,4.2,0807,-17.78,C1,1.07
20,068D,2.08,062F,12.51,04F2,47.69,06A0,-0.03,0665,6.52,0CC6,4990.84,0C9B,4925.21,0CC3,4986.26,0CBA,4972.53,0CCB,4998.47,1B,125.85,03,13.98,10,74.58,0B,51.27,0B,51.27,A5,4.2,0807,-17.78,C1,1.07
25,068C,2.19,0632,12.18,04EF,48.02,06A0,-0.03,0665,6.52,0D10,5103.79,0CDA,5021.37,0CDB,5022.89,0CF9,5068.68,0D07,5090.05,1E,139.83,02,9.32,02,9.32,07,32.63,06,27.97,A5,4.2,0807,-17.78,C1,1.07
30,068A,2.41,0635,11.85,04EE,48.13,069E,0.19,0665,6.52,0C46,4795.48,0C2B,4754.27,0C53,4815.32,0C31,4763.43,0C47,4797.01,28,186.44,0D,60.59,36,251.7,0A,46.61,0F,69.92,A2,4.12,0755,503.47,C1,1.07
35,0686,2.86,0637,11.62,04ED,48.24,06A0,-0.03,0664,6.63,0D2F,5151.1,0D0D,5099.21,0CD6,5015.26,0D0E,5100.73,0D24,5134.31,26,177.12,06,27.97,01,4.66,05,23.31,04,18.64,A5,4.2,080F,-41.21,C1,1.07
40,0683,3.19,0638,11.51,04ED,48.24,06A1,-0.14,0663,6.74,0D54,5207.57,0D31,5154.15,0CD1,5007.63,0D25,5135.84,0D3C,5170.94,28,186.44,08,37.29,01,4.66,03,13.98,02,9.32,A5,4.2,080A,-26.57,C1,1.07
45,0681,3.41,0638,11.51,04EB,48.47,06A1,-0.14,0663,6.74,0D68,5238.1,0D48,5189.26,0CCC,5000,0D2F,5151.1,0D49,5190.78,28,186.44,09,41.95,01,4.66,02,9.32,01,4.66,A5,4.2,080C,-32.43,C1,1.07
50,067E,3.74,0639,11.4,04EA,48.58,06A3,-0.36,0662,6.85,0D79,5264.04,0D61,5227.41,0CC7,4992.37,0D31,5154.15,0D4E,5198.41,27,181.78,0B,51.27,01,4.66,02,9.32,01,4.66,A5,4.2,0808,-20.71,C1,1.07
55,067A,4.19,0638,11.51,04EA,48.58,06A4,-0.47,0661,6.96,0D8D,5294.57,0D75,5257.94,0CC1,4983.21,0D2F,5151.1,0D4F,5199.94,25,172.46,0D,60.59,01,4.66,02,9.32,01,4.66,A5,4.2,080B,-29.5,C1,1.07
60,0675,4.74,0636,11.73,04E9,48.69,06A5,-0.58,065F,7.18,0D93,5303.72,0D7D,5270.15,0CBD,4977.11,0D2E,5149.57,0D4D,5196.89,22,158.48,10,74.58,01,4.66,02,9.32,01,4.66,A5,4.2,080B,-29.5,C1,1.07
65,0673,4.97,0633,12.07,04EB,48.47,06A5,-0.58,065E,7.3,0D99,5312.88,0D87,5285.41,0CB8,4969.47,0D2E,5149.57,0D49,5190.78,1F,144.49,12,83.9,01,4.66,02,9.32,01,4.66,A5,4.2,0809,-23.64,C1,1.07
70,0670,5.3,0630,12.4,04EB,48.47,06A6,-0.69,065D,7.41,0D95,5306.78,0D8A,5289.99,0CB3,4961.84,0D2D,5148.05,0D43,5181.62,1C,130.51,17,107.21,01,4.66,02,9.32,01,4.66,A5,4.2,0809,-23.64,C1,1.07
75,066C,5.74,062D,12.73,04EC,48.36,06A7,-0.81,065D,7.41,0D92,5302.2,0D8A,5289.99,0CB0,4957.26,0D2D,5148.05,0D3E,5173.99,18,111.87,19,116.53,01,4.66,02,9.32,01,4.66,A5,4.2,080A,-26.57,C1,1.07
80,0669,6.08,0628,13.29,04EE,48.13,06A9,-1.03,065C,7.52,0D87,5285.41,0D85,5282.36,0CAC,4951.16,0D2C,5146.52,0D37,5163.31,14,93.22,1D,135.17,01,4.66,02,9.32,01,4.66,A5,4.2,080D,-35.35,C1,1.07
85,0668,6.19,0623,13.84,04EF,48.02,06A8,-0.92,065C,7.52,0D79,5264.04,0D80,5274.73,0CA9,4946.58,0D28,5140.42,0D30,5152.63,11,79.24,21,153.82,01,4.66,02,9.32,01,4.66,A5,4.2,080B,-29.5,C1,1.07
90,0667,6.3,061E,14.4,04F1,47.8,06A9,-1.03,065B,7.63,0D6A,5241.15,0D76,5259.46,0CA6,4942,0D24,5134.31,0D28,5140.42,0C,55.93,26,177.12,01,4.66,02,9.32,01,4.66,A5,4.2,080A,-26.57,C1,1.07
95,0666,6.41,0618,15.06,04F4,47.47,06A9,-1.03,065C,7.52,0D51,5202.99,0D69,5239.62,0CA6,4942,0D1D,5123.63,0D1F,5126.68,07,32.63,2B,200.43,01,4.66,02,9.32,01,4.66,A5,4.2,080B,-29.5,C1,1.07
100,0666,6.41,0613,15.62,04F8,47.02,06AA,-1.14,065D,7.41,0D2E,5149.57,0D5D,5221.31,0CA6,4942,0D16,5112.94,0D16,5112.94,02,9.32,2E,214.41,01,4.66,02,9.32,01,4.66,A5,4.2,080B,-29.5,C1,1.07
105,0668,6.19,060D,16.28,04FA,46.8,06AA,-1.14,065C,7.52,0CC8,4993.89,0D51,5202.99,0CA8,4945.05,0D10,5103.79,0D0B,5096.15,01,4.66,33,237.72,01,4.66,02,9.32,01,4.66,A5,4.2,080C,-32.43,C1,1.07
110,0669,6.08,0607,16.95,04FE,46.36,06AA,-1.14,065D,7.41,0C4C,4804.64,0D4D,5196.89,0CAA,4948.11,0D0B,5096.15,0D03,5083.94,01,4.66,32,233.06,01,4.66,02,9.32,01,4.66,A5,4.2,080B,-29.5,C1,1.07
