Time Stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt raw),Tbatt (℃)
0,0603,17.39,060B,16.51,066D,5.63,0623,13.84,061E,14.4,0D0C,5097.68,0CC9,4995.42,0D19,5117.52,0CCE,5003.05,0C68,4847.37,10,74.58,01,4.66,1C,130.51,02,9.32,01,4.66,A5,4.2,0810,-44.14,BD,2.6
5,0605,17.17,060D,16.28,066D,5.63,0626,13.51,0620,14.18,0D20,5128.21,0CDC,5024.42,0D35,5160.26,0CFB,5071.73,0C8F,4906.9,0D,60.59,00,0,23,163.14,03,13.98,01,4.66,A5,4.2,080E,-38.28,BD,2.6
10,0604,17.28,0610,15.95,066B,5.85,0629,13.18,0624,13.73,0D42,5180.1,0D04,5085.47,0D6A,5241.15,0D4F,5199.94,0CB1,4958.79,05,23.31,00,0,25,172.46,08,37.29,01,4.66,A5,4.2,080D,-35.35,BD,2.6
15,0604,17.28,0613,15.62,0666,6.41,0629,13.18,0626,13.51,0D47,5187.73,0D23,5132.78,0D8E,5296.09,0D7B,5267.09,0CCC,5000,01,4.66,00,0,25,172.46,0C,55.93,01,4.66,A5,4.2,080E,-38.28,BD,2.6
20,0604,17.28,0615,15.4,0662,6.85,0629,13.18,0627,13.4,0D3A,5167.89,0D3A,5167.89,0DAA,5338.83,0D98,5311.36,0CE2,5033.58,01,4.66,00,0,23,163.14,0D,60.59,01,4.66,A5,4.2,080E,-38.28,BD,2.6
25,0605,17.17,0616,15.29,065D,7.41,0625,13.62,0629,13.18,0D24,5134.31,0D4B,5193.83,0DB5,5355.62,0DA3,5328.14,0CF1,5056.47,00,0,00,0,23,163.14,0E,65.26,01,4.66,A5,4.2,0811,-47.07,BD,2.6
30,0605,17.17,0617,15.17,0657,8.07,0622,13.95,062A,13.07,0D06,5088.52,0D55,5209.1,0DB5,5355.62,0DA6,5332.72,0CFB,5071.73,00,0,00,0,22,158.48,0D,60.59,01,4.66,A5,4.2,0811,-47.07,BD,2.6
35,0606,17.06,0616,15.29,0650,8.85,061E,14.4,062B,12.96,0D1A,5119.05,0D59,5215.2,0DAE,5344.93,0D9E,5320.51,0D01,5080.89,00,0,01,4.66,23,163.14,0D,60.59,01,4.66,A5,4.2,080E,-38.28,BD,2.6
40,0608,16.84,0616,15.29,064A,9.52,0619,14.95,062C,12.84,0D6E,5247.25,0D56,5210.62,0DA7,5334.25,0D92,5302.2,0D02,5082.42,02,9.32,01,4.66,23,163.14,0B,51.27,01,4.66,A5,4.2,080F,-41.21,BD,2.6
45,0608,16.84,0615,15.4,0642,10.4,0617,15.17,062C,12.84,0D88,5286.94,0D4F,5199.94,0DA1,5325.09,0D80,5274.73,0CFE,5076.31,0A,46.61,01,4.66,20,149.16,06,27.97,01,4.66,A5,4.2,080F,-41.21,BD,2.6
50,0606,17.06,0614,15.51,063D,10.96,0616,15.29,062E,12.62,0D8F,5297.62,0D42,5180.1,0D9D,5318.99,0D5A,5216.73,0CF5,5062.58,12,83.9,01,4.66,1C,130.51,02,9.32,01,4.66,A5,4.2,080E,-38.28,BD,2.6
55,0603,17.39,0615,15.4,0637,11.62,0616,15.29,062E,12.62,0D92,5302.2,0D33,5157.2,0D97,5309.83,0CE4,5036.63,0CE8,5042.74,19,116.53,00,0,18,111.87,01,4.66,01,4.66,A5,4.2,080C,-32.43,BD,2.6
60,05FF,17.84,0615,15.4,0632,12.18,0617,15.17,062F,12.51,0D8D,5294.57,0D20,5128.21,0D8B,5291.51,0C23,4742.06,0CD5,5013.74,1D,135.17,00,0,13,88.56,01,4.66,01,4.66,A5,4.2,0809,-23.64,BD,2.6
65,05F8,18.62,0616,15.29,062F,12.51,061B,14.73,0631,12.29,0D86,5283.88,0D54,5207.57,0D7E,5271.67,0C71,4861.11,0CC1,4983.21,1E,139.83,03,13.98,0F,69.92,01,4.66,01,4.66,A5,4.2,080B,-29.5,BD,2.6
70,05F3,19.17,0617,15.17,062D,12.73,061F,14.29,0632,12.18,0D75,5257.94,0D63,5230.46,0D6B,5242.67,0CAE,4954.21,0CA6,4942,20,149.16,10,74.58,0D,60.59,01,4.66,01,4.66,A5,4.2,0808,-20.71,BD,2.6
75,05EE,19.72,0616,15.29,062A,13.07,0624,13.73,0635,11.85,0D70,5250.31,0D6A,5241.15,0D71,5251.83,0CD8,5018.32,0C89,4897.74,12,83.9,15,97.88,05,23.31,02,9.32,01,4.66,A5,4.2,0809,-23.64,BD,2.6
80,05E8,20.39,0612,15.73,0628,13.29,0626,13.51,0637,11.62,0D62,5228.94,0D68,5238.1,0D55,5209.1,0CFC,5073.26,0C68,4847.37,11,79.24,26,177.12,06,27.97,01,4.66,01,4.66,A5,4.2,0804,-9,BD,2.6
85,05E5,20.72,060E,16.17,0628,13.29,0628,13.29,0639,11.4,0D5D,5221.31,0D61,5227.41,0D46,5186.2,0D11,5105.31,0C4C,4804.64,0A,46.61,2F,219.07,05,23.31,02,9.32,01,4.66,A5,4.2,0807,-17.78,BD,2.6
