Time Stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt raw),Tbatt (℃)
0,0647,9.85,0694,1.3,05A4,27.94,0612,15.73,067A,4.19,0001,1.53,0D35,5160.26,0D34,5158.73,0BC1,4592.49,0D2B,5144.99,04,18.64,13,88.56,11,79.24,01,4.66,0F,69.92,A4,4.17,0801,-0.21,BD,2.6
5,0647,9.85,0694,1.3,05A3,28.05,0616,15.29,0679,4.3,0001,1.53,0D47,5187.73,0D3D,5172.47,0BF9,4677.96,0D38,5164.84,04,18.64,1A,121.19,0E,65.26,01,4.66,0F,69.92,A4,4.17,0800,2.72,BE,2.22
10,0648,9.74,0692,1.53,05A2,28.16,061B,14.73,0679,4.3,0001,1.53,0D69,5239.62,0D50,5201.47,0C2E,4758.85,0D56,5210.62,04,18.64,23,163.14,07,32.63,01,4.66,0E,65.26,A4,4.17,0800,2.72,BE,2.22
15,0649,9.63,068F,1.86,05A1,28.27,061F,14.29,0678,4.41,0001,1.53,0D88,5286.94,0D5B,5218.25,0C56,4819.9,0D6E,5247.25,04,18.64,28,186.44,02,9.32,01,4.66,0B,51.27,A4,4.17,07FF,5.64,BD,2.6
20,0649,9.63,068A,2.41,059E,28.6,0623,13.84,0677,4.52,0001,1.53,0DA7,5334.25,0D5E,5222.83,0C7A,4874.85,0D87,5285.41,04,18.64,2B,200.43,01,4.66,01,4.66,09,41.95,A4,4.17,0801,-0.21,BD,2.6
25,0649,9.63,0686,2.86,059D,28.71,0626,13.51,0676,4.63,0002,3.05,0DB9,5361.72,0D5E,5222.83,0C8F,4906.9,0D93,5303.72,04,18.64,2D,209.75,01,4.66,01,4.66,08,37.29,A4,4.17,07FF,5.64,BD,2.6
30,064A,9.52,067F,3.63,059A,29.05,062B,12.96,0675,4.74,0001,1.53,0DC2,5375.46,0D5B,5218.25,0CA4,4938.95,0D9B,5315.93,04,18.64,2D,209.75,01,4.66,01,4.66,08,37.29,A4,4.17,0802,-3.14,BE,2.22
35,064B,9.4,0679,4.3,0598,29.27,062E,12.62,0672,5.08,0001,1.53,0DC0,5372.41,0D59,5215.2,0CB0,4957.26,0D9B,5315.93,04,18.64,2D,209.75,01,4.66,01,4.66,07,32.63,A4,4.17,0805,-11.93,BD,2.6
40,064C,9.29,0673,4.97,0596,29.49,0631,12.29,0672,5.08,0001,1.53,0DC2,5375.46,0D55,5209.1,0CB9,4971,0D98,5311.36,04,18.64,2D,209.75,01,4.66,01,4.66,08,37.29,A4,4.17,0806,-14.85,BD,2.6
45,064D,9.18,066C,5.74,0594,29.71,0634,11.96,0670,5.3,0001,1.53,0DBB,5364.77,0D50,5201.47,0CBD,4977.11,0D93,5303.72,04,18.64,2D,209.75,01,4.66,01,4.66,08,37.29,A4,4.17,0808,-20.71,BD,2.6
50,064E,9.07,0666,6.41,0593,29.82,0636,11.73,066E,5.52,0001,1.53,0DB0,5347.99,0D4A,5192.31,0CBC,4975.58,0D8B,5291.51,04,18.64,2D,209.75,01,4.66,01,4.66,08,37.29,A4,4.17,0809,-23.64,BD,2.6
55,064C,9.29,065F,7.18,0592,29.93,0639,11.4,066D,5.63,0001,1.53,0DA0,5323.57,0D41,5178.57,0CB6,4966.42,0D7D,5270.15,04,18.64,2C,205.09,01,4.66,01,4.66,09,41.95,A4,4.17,080B,-29.5,BD,2.6
60,064B,9.4,0659,7.85,0590,30.16,063B,11.18,066C,5.74,0001,1.53,0D8A,5289.99,0D39,5166.36,0CAB,4949.63,0D6B,5242.67,04,18.64,2B,200.43,01,4.66,01,4.66,0A,46.61,A4,4.17,080B,-29.5,BD,2.6
65,0647,9.85,0654,8.41,0591,30.05,063D,10.96,066B,5.85,0001,1.53,0D6F,5248.78,0D2D,5148.05,0C9B,4925.21,0D4F,5199.94,04,18.64,29,191.11,02,9.32,01,4.66,0B,51.27,A4,4.17,080D,-35.35,BD,2.6
70,0641,10.51,0650,8.85,0591,30.05,0640,10.63,066A,5.96,0001,1.53,0D21,5129.73,0D08,5091.58,0C83,4888.58,0D09,5093.1,04,18.64,2B,200.43,09,41.95,01,4.66,0F,69.92,A4,4.17,080E,-38.28,BD,2.6
75,063B,11.18,064D,9.18,0593,29.82,0644,10.18,066B,5.85,0001,1.53,0D21,5129.73,0D02,5082.42,0C61,4836.69,0D0B,5096.15,04,18.64,20,149.16,05,23.31,01,4.66,0C,55.93,A4,4.17,0811,-47.07,BD,2.6
80,0633,12.07,064C,9.29,0595,29.6,0646,9.96,066A,5.96,0001,1.53,0CDE,5027.47,0CD0,5006.11,0C37,4772.59,0CCE,5003.05,04,18.64,1A,121.19,0B,51.27,01,4.66,0E,65.26,A4,4.17,0810,-44.14,BD,2.6
85,062C,12.84,064B,9.4,0598,29.27,064A,9.52,066B,5.85,0001,1.53,0C6B,4851.95,0C6D,4855.01,0C04,4694.75,0C62,4838.22,04,18.64,14,93.22,12,83.9,01,4.66,0F,69.92,A4,4.17,0801,-0.21,BD,2.6
90,0624,13.73,064B,9.4,059D,28.71,064F,8.96,066C,5.74,0001,1.53,0BF6,4673.38,0BFE,4685.59,0BA9,4555.86,0BE7,4650.49,04,18.64,0E,65.26,12,83.9,02,9.32,0F,69.92,A3,4.15,07E9,70.07,BD,2.6
95,061C,14.62,064D,9.18,05A2,28.16,0652,8.63,066D,5.63,0001,1.53,0BF5,4671.86,0BF4,4670.33,0BD9,4629.12,0BF0,4664.22,04,18.64,0E,65.26,0C,55.93,04,18.64,0D,60.59,A4,4.17,0800,2.72,BD,2.6
100,061C,14.62,0655,8.29,05B1,26.49,065C,7.52,066E,5.52,0001,1.53,0BF1,4665.75,0BEE,4661.17,0BEF,4662.7,0BE8,4652.01,04,18.64,0F,69.92,07,32.63,0E,65.26,0D,60.59,9E,4.02,06B5,972,BD,2.6
105,060E,16.17,0657,8.07,05B6,25.94,0661,6.96,066F,5.41,0001,1.53,0BF3,4668.8,0BD9,4629.12,0BFF,4687.12,0BE9,4653.54,04,18.64,0F,69.92,03,13.98,1D,135.17,0B,51.27,9D,3.99,06C6,922.22,BD,2.6
110,0604,17.28,0659,7.85,05BE,25.05,065F,7.18,0671,5.19,0001,1.53,0BF7,4674.91,0BCC,4609.28,0C0A,4703.91,0BE7,4650.49,04,18.64,10,74.58,02,9.32,29,191.11,0B,51.27,9D,3.99,06D3,884.15,BC,2.98
115,05F7,18.73,064F,8.96,05B7,25.83,0657,8.07,0673,4.97,0001,1.53,0BFD,4684.07,0BC3,4595.54,0C11,4714.59,0BED,4659.65,04,18.64,10,74.58,02,9.32,36,251.7,08,37.29,A3,4.15,082D,-129.06,BD,2.6
120,05F1,19.39,0657,8.07,05C6,24.16,065F,7.18,0674,4.85,0000,0,0BF4,4670.33,0BCC,4609.28,0C13,4717.64,0BE4,4645.91,04,18.64,0E,65.26,02,9.32,42,307.63,0A,46.61,9E,4.02,06F8,775.8,BD,2.6
125,05EE,19.72,0656,8.18,05CC,23.5,065A,7.74,0676,4.63,0001,1.53,0BF9,4677.96,0BD2,4618.44,0C1A,4728.33,0BEB,4656.59,04,18.64,0D,60.59,02,9.32,4C,354.24,0C,55.93,9E,4.02,0707,731.88,BD,2.6
130,05E6,20.61,0657,8.07,05D0,23.05,0656,8.18,0678,4.41,0001,1.53,0BF8,4676.43,0BDA,4630.65,0C18,4725.27,0BF2,4667.28,04,18.64,0C,55.93,02,9.32,54,391.53,0D,60.59,9E,4.02,0714,693.81,BC,2.98
135,05DD,21.61,064F,8.96,05CB,23.61,064A,9.52,0679,4.3,0001,1.53,0BF7,4674.91,0BDC,4633.7,0C15,4720.7,0BF2,4667.28,04,18.64,0A,46.61,03,13.98,5D,433.48,0D,60.59,A4,4.17,0864,-290.12,BD,2.6
140,05DD,21.61,064F,8.96,05CB,23.61,064A,9.52,0679,4.3,0001,1.53,0BF7,4674.91,0BDC,4633.7,0C15,4720.7,0BF2,4667.28,04,18.64,0A,46.61,03,13.98,5D,433.48,0D,60.59,A4,4.17,0864,-290.12,BD,2.6
145,05DA,21.94,0652,8.63,05D6,22.39,0641,10.51,067A,4.19,0001,1.53,0CCE,5003.05,0C2A,4752.75,0D04,5085.47,0CDB,5022.89,04,18.64,04,18.64,01,4.66,57,405.52,0A,46.61,A4,4.17,0853,-240.34,BD,2.6
150,05DC,21.72,0654,8.41,05DC,21.72,063B,11.18,067C,3.97,0001,1.53,0CD5,5013.74,0C32,4764.96,0D15,5111.42,0CE5,5038.16,04,18.64,02,9.32,01,4.66,57,405.52,08,37.29,A4,4.17,084B,-216.91,BD,2.6
155,05DF,21.39,0654,8.41,05DF,21.39,0635,11.85,067D,3.86,0001,1.53,0CCC,5000,0C39,4775.64,0D17,5114.47,0CDB,5022.89,04,18.64,01,4.66,01,4.66,57,405.52,05,23.31,A4,4.17,0840,-184.7,BD,2.6
160,05DF,21.39,0654,8.41,05DF,21.39,0635,11.85,067D,3.86,0001,1.53,0CCC,5000,0C39,4775.64,0D17,5114.47,0CDB,5022.89,04,18.64,01,4.66,01,4.66,57,405.52,05,23.31,A4,4.17,0840,-184.7,BD,2.6
165,05E5,20.72,0657,8.07,05E7,20.5,0629,13.18,067F,3.63,0001,1.53,0CB4,4963.37,0C4D,4806.17,0D08,5091.58,0CB4,4963.37,04,18.64,01,4.66,01,4.66,54,391.53,03,13.98,A4,4.17,0836,-155.42,BD,2.6
170,05E9,20.28,0659,7.85,05F3,19.17,0624,13.73,0680,3.52,0001,1.53,0CA6,4942,0C94,4914.53,0CFE,5076.31,0CB1,4958.79,04,18.64,01,4.66,01,4.66,50,372.89,04,18.64,A4,4.17,0831,-140.77,BD,2.6
175,05EC,19.95,065A,7.74,05F1,19.39,0621,14.07,0681,3.41,0001,1.53,0CA0,4932.84,0CC8,4993.89,0CFB,5071.73,0CB0,4957.26,04,18.64,01,4.66,04,18.64,4D,358.9,04,18.64,A4,4.17,082E,-131.99,BD,2.6
180,05EE,19.72,065C,7.52,05F4,19.06,061B,14.73,0683,3.19,0001,1.53,0CA0,4932.84,0CE7,5041.21,0D02,5082.42,0CBC,4975.58,04,18.64,01,4.66,0A,46.61,44,316.95,04,18.64,A4,4.17,082C,-126.13,BD,2.6
185,05F1,19.39,065E,7.3,05F6,18.84,0615,15.4,0684,3.08,0001,1.53,0C9E,4929.79,0CFE,5076.31,0D0F,5102.26,0CC5,4989.32,04,18.64,01,4.66,12,83.9,3A,270.34,03,13.98,A4,4.17,0829,-117.35,BD,2.6
190,05F4,19.06,0661,6.96,05F7,18.73,0613,15.62,0684,3.08,0001,1.53,0C99,4922.16,0D0E,5100.73,0D17,5114.47,0CCE,5003.05,04,18.64,01,4.66,1B,125.85,30,223.73,03,13.98,A4,4.17,082A,-120.28,BD,2.6
195,05F6,18.84,0664,6.63,05F9,18.5,0610,15.95,0686,2.86,0001,1.53,0C90,4908.42,0D1D,5123.63,0D1B,5120.57,0CD3,5010.68,04,18.64,01,4.66,23,163.14,24,167.8,03,13.98,A4,4.17,0824,-102.71,BD,2.6
200,05F7,18.73,0665,6.52,05F8,18.62,060D,16.28,0686,2.86,0001,1.53,0C86,4893.16,0D24,5134.31,0D1B,5120.57,0CDA,5021.37,04,18.64,01,4.66,29,191.11,1D,135.17,03,13.98,A4,4.17,0827,-111.49,BD,2.6
205,05FA,18.39,0668,6.19,05F5,18.95,060B,16.51,0687,2.75,0001,1.53,0C71,4861.11,0D28,5140.42,0D17,5114.47,0CE0,5030.53,04,18.64,01,4.66,30,223.73,14,93.22,04,18.64,A4,4.17,0825,-105.63,BD,2.6
210,05FC,18.17,066B,5.85,05F2,19.28,060A,16.62,0688,2.63,0001,1.53,0C58,4822.95,0D2D,5148.05,0D11,5105.31,0CE6,5039.68,04,18.64,01,4.66,35,247.04,0E,65.26,04,18.64,A4,4.17,0824,-102.71,BD,2.6
215,05FD,18.06,066E,5.52,05EF,19.61,0609,16.73,0688,2.63,0001,1.53,0C39,4775.64,0D30,5152.63,0D0C,5097.68,0CF1,5056.47,04,18.64,01,4.66,38,261.02,09,41.95,04,18.64,A4,4.17,0823,-99.78,BD,2.6
220,05FF,17.84,0671,5.19,05EB,20.06,060A,16.62,0688,2.63,0000,0,0C0E,4710.01,0D36,5161.78,0D05,5087,0CF8,5067.16,04,18.64,01,4.66,3A,270.34,05,23.31,05,23.31,A4,4.17,0824,-102.71,BD,2.6
225,0601,17.62,0673,4.97,05E6,20.61,060B,16.51,0688,2.63,0001,1.53,0BEA,4655.07,0D45,5184.68,0D0A,5094.63,0D0A,5094.63,04,18.64,01,4.66,37,256.36,03,13.98,05,23.31,A4,4.17,0824,-102.71,BD,2.6
230,0605,17.17,0676,4.63,05E2,21.06,060C,16.4,0687,2.75,0001,1.53,0BCC,4609.28,0D21,5129.73,0CF6,5064.1,0CF0,5054.95,04,18.64,01,4.66,42,307.63,06,27.97,07,32.63,A4,4.17,0826,-108.56,BD,2.6
235,0607,16.95,0679,4.3,05DD,21.61,060C,16.4,0687,2.75,0002,3.05,0BC3,4595.54,0D4E,5198.41,0D1B,5120.57,0D1B,5120.57,04,18.64,01,4.66,33,237.72,04,18.64,06,27.97,A4,4.17,0827,-111.49,BD,2.6
240,060A,16.62,067C,3.97,05D7,22.28,060D,16.28,0686,2.86,0001,1.53,0BDA,4630.65,0D4E,5198.41,0D28,5140.42,0D20,5128.21,04,18.64,01,4.66,31,228.39,06,27.97,06,27.97,A4,4.17,0825,-105.63,BD,2.6
