Time Stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt raw),Tbatt (℃)
0,0645,10.07,06E0,-7.13,06F6,-9.57,060C,16.4,05E4,20.83,0001,1.53,0BEB,4656.59,0C4E,4807.69,0C4D,4806.17,0C58,4822.95,04,18.64,01,4.66,0F,69.92,0E,65.26,23,163.14,A4,4.17,080B,-29.5,B6,5.28
5,0648,9.74,06E1,-7.24,06F5,-9.46,060D,16.28,05E6,20.61,0001,1.53,0CB2,4960.32,0CC2,4984.74,0CA4,4938.95,0CD6,5015.26,04,18.64,05,23.31,0F,69.92,03,13.98,28,186.44,A4,4.17,080C,-32.43,B6,5.28
10,0649,9.63,06E2,-7.35,06F3,-9.24,060E,16.17,05E6,20.61,0001,1.53,0D6D,5245.73,0D5D,5221.31,0CCA,4996.95,0D5F,5224.36,04,18.64,1C,130.51,0B,51.27,01,4.66,15,97.88,A4,4.17,0811,-47.07,B6,5.28
15,064C,9.29,06E0,-7.13,06EF,-8.8,0611,15.84,05E6,20.61,0001,1.53,0DC4,5378.51,0D9F,5322.04,0CD5,5013.74,0D91,5300.67,09,41.95,30,223.73,05,23.31,01,4.66,05,23.31,A4,4.17,0812,-50,B6,5.28
20,0650,8.85,06DD,-6.8,06F1,-9.02,0614,15.51,05E4,20.83,0001,1.53,0DFF,5468.56,0DBA,5363.25,0CD6,5015.26,0D8D,5294.57,04,18.64,35,247.04,02,9.32,01,4.66,03,13.98,A4,4.17,0816,-61.71,B6,5.28
25,0655,8.29,06D5,-5.91,06F0,-8.91,0616,15.29,05E2,21.06,0001,1.53,0E0F,5492.98,0DA7,5334.25,0CCD,5001.53,0D77,5260.99,04,18.64,3A,270.34,01,4.66,01,4.66,03,13.98,A4,4.17,0820,-90.99,B6,5.28
30,0659,7.85,06CD,-5.02,06F0,-8.91,0619,14.95,05E0,21.28,0001,1.53,0E16,5503.66,0D87,5285.41,0CB7,4967.95,0D44,5183.15,04,18.64,36,251.7,01,4.66,01,4.66,03,13.98,A4,4.17,081F,-88.06,B6,5.28
35,065C,7.52,06C3,-3.91,06EF,-8.8,061C,14.62,05E1,21.17,0001,1.53,0DFF,5468.56,0D61,5227.41,0C91,4909.95,0CCC,5000,04,18.64,36,251.7,01,4.66,01,4.66,03,13.98,A4,4.17,0821,-93.92,B6,5.28
40,065A,7.74,06BB,-3.02,06F0,-8.91,061F,14.29,05E2,21.06,0001,1.53,0DBF,5370.88,0D85,5282.36,0C55,4818.38,0C98,4920.63,04,18.64,36,251.7,02,9.32,01,4.66,03,13.98,A4,4.17,0821,-93.92,B6,5.28
45,0654,8.41,06B4,-2.25,06F0,-8.91,0624,13.73,05E6,20.61,0001,1.53,0DA0,5323.57,0DA3,5328.14,0BD9,4629.12,0CB1,4958.79,04,18.64,1E,139.83,19,116.53,01,4.66,03,13.98,A4,4.17,081F,-88.06,B6,5.28
