Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,0656,8.18,067A,4.19,0679,4.3,066D,5.63,0693,1.41,0D66,5235.04,0D80,5274.73,0DC5,5380.04,0DA3,5328.14,0D78,5262.52,03,13.98,00,0,32,233.06,03,13.98,01,4.66,A4,4.17,081F,-88.06,C3,0.3
10,0656,8.18,067A,4.19,0675,4.74,066C,5.74,0695,1.19,0D2B,5144.99,0D97,5309.83,0DCE,5393.77,0DC9,5386.14,0D76,5259.46,03,13.98,00,0,1E,139.83,16,102.54,02,9.32,A4,4.17,0820,-90.99,C3,0.3
20,065A,7.74,0677,4.52,0678,4.41,0668,6.19,0696,1.08,0CD7,5016.79,0D8B,5291.51,0DCA,5387.67,0DD1,5398.35,0D9B,5315.93,03,13.98,00,0,13,88.56,20,149.16,02,9.32,A4,4.17,081E,-85.14,C3,0.3
30,065F,7.18,0677,4.52,0678,4.41,065D,7.41,0697,0.97,0CA6,4942,0D64,5231.99,0DCE,5393.77,0DDB,5413.61,0DB9,5361.72,03,13.98,00,0,14,93.22,1F,144.49,04,18.64,A4,4.17,081D,-82.21,C3,0.3
40,0668,6.19,0679,4.3,0679,4.3,0652,8.63,0693,1.41,0D97,5309.83,0D31,5154.15,0DF4,5451.77,0DE4,5427.35,0DD7,5407.51,03,13.98,00,0,1F,144.49,0C,55.93,05,23.31,A4,4.17,0816,-61.71,C3,0.3
50,0669,6.08,067B,4.08,0671,5.19,064D,9.18,0691,1.64,0DB4,5354.09,0D32,5155.68,0DF8,5457.88,0DDA,5412.09,0DD7,5407.51,03,13.98,00,0,26,177.12,05,23.31,04,18.64,A4,4.17,0816,-61.71,C3,0.3
60,066A,5.96,067F,3.63,0662,6.85,0648,9.74,068C,2.19,0D9D,5318.99,0D6F,5248.78,0DCD,5392.25,0D8C,5293.04,0DBB,5364.77,03,13.98,00,0,30,223.73,00,0,02,9.32,A4,4.17,081A,-73.42,C3,0.3
70,066A,5.96,0680,3.52,0658,7.96,064C,9.29,068B,2.3,0DA0,5323.57,0D9C,5317.46,0DDB,5413.61,0D4B,5193.83,0DA3,5328.14,04,18.64,00,0,31,228.39,00,0,02,9.32,A4,4.17,081B,-76.35,C3,0.3
80,0667,6.3,0680,3.52,0650,8.85,0651,8.74,068A,2.41,0D81,5276.25,0DA4,5329.67,0DBD,5367.83,0D87,5285.41,0D90,5299.15,04,18.64,06,27.97,28,186.44,02,9.32,04,18.64,A4,4.17,081C,-79.28,C3,0.3
90,0667,6.3,067F,3.63,0650,8.85,0653,8.52,068A,2.41,0D53,5206.04,0DA4,5329.67,0DAC,5341.88,0DA8,5335.78,0D99,5312.88,03,13.98,08,37.29,13,88.56,13,88.56,05,23.31,A4,4.17,0815,-58.78,C3,0.3
100,066A,5.96,067B,4.08,0656,8.18,064E,9.07,068B,2.3,0D2F,5151.1,0DA4,5329.67,0D9F,5322.04,0DBA,5363.25,0DA6,5332.72,03,13.98,05,23.31,06,27.97,22,158.48,08,37.29,A4,4.17,0814,-55.85,C3,0.3
110,066D,5.63,0679,4.3,065A,7.74,0648,9.74,068A,2.41,0D2F,5151.1,0D95,5306.78,0DB6,5357.14,0DC8,5384.62,0DB9,5361.72,03,13.98,01,4.66,0B,51.27,21,153.82,0A,46.61,A4,4.17,0816,-61.71,C3,0.3
