Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,0683,3.19,06A6,-0.69,05B9,25.61,05DB,21.83,067E,3.74,0D83,5279.3,0D7E,5271.67,0D85,5282.36,0D62,5228.94,0D72,5253.36,0F,69.92,0B,51.27,14,93.22,03,13.98,05,23.31,A4,4.17,0811,-47.07,BF,1.84
10,0682,3.3,06A4,-0.47,05B2,26.38,05DC,21.72,067F,3.63,0D80,5274.73,0D7A,5265.57,0D80,5274.73,0D49,5190.78,0D72,5253.36,0F,69.92,0B,51.27,16,102.54,00,0,07,32.63,A4,4.17,0810,-44.14,BF,1.84
20,0681,3.41,06A3,-0.36,05A9,27.38,05E0,21.28,067F,3.63,0D7B,5267.09,0D77,5260.99,0D7F,5273.2,0D2A,5143.47,0D68,5238.1,0E,65.26,0A,46.61,17,107.21,00,0,07,32.63,A4,4.17,0812,-50,BF,1.84
30,0680,3.52,06A3,-0.36,05A1,28.27,05E4,20.83,067F,3.63,0D75,5257.94,0D72,5253.36,0D7A,5265.57,0D18,5116,0D6B,5242.67,0D,60.59,0A,46.61,19,116.53,00,0,08,37.29,A4,4.17,0813,-52.92,BF,1.84
40,0680,3.52,06A1,-0.14,059B,28.94,05E9,20.28,067F,3.63,0D6D,5245.73,0D6E,5247.25,0D75,5257.94,0D16,5112.94,0D68,5238.1,0C,55.93,0A,46.61,17,107.21,00,0,09,41.95,A4,4.17,0814,-55.85,BF,1.84
50,0675,4.74,069A,0.64,0584,31.49,05F0,19.5,0683,3.19,0D96,5308.3,0D82,5277.78,0D68,5238.1,0D7D,5270.15,0D55,5209.1,21,153.82,09,41.95,03,13.98,09,41.95,02,9.32,A4,4.17,0818,-67.57,BF,1.84
60,0671,5.19,0698,0.86,0583,31.6,05EC,19.95,0686,2.86,0D96,5308.3,0D7A,5265.57,0D5F,5224.36,0D7E,5271.67,0D3D,5172.47,20,149.16,08,37.29,02,9.32,0B,51.27,01,4.66,A4,4.17,0816,-61.71,BF,1.84
70,066E,5.52,0697,0.97,0582,31.71,05E9,20.28,0688,2.63,0D90,5299.15,0D7B,5267.09,0D5B,5218.25,0D7D,5270.15,0D31,5154.15,1F,144.49,08,37.29,02,9.32,0D,60.59,01,4.66,A4,4.17,0819,-70.49,BF,1.84
80,066A,5.96,0695,1.19,0581,31.82,05E2,21.06,068D,2.08,0D78,5262.52,0D68,5238.1,0D56,5210.62,0D6D,5245.73,0D1C,5122.1,18,111.87,07,32.63,03,13.98,12,83.9,01,4.66,A4,4.17,0813,-52.92,BF,1.84
90,0669,6.08,0693,1.41,057F,32.04,05DD,21.61,0690,1.75,0D63,5230.46,0D57,5212.15,0D51,5202.99,0D61,5227.41,0D17,5114.47,11,79.24,08,37.29,07,32.63,15,97.88,01,4.66,A4,4.17,0814,-55.85,BF,1.84
