Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,061E,14.4,060D,16.28,0687,2.75,0669,6.08,0600,17.73,0BD3,4619.96,09FA,3898.05,035E,1315.63,0D65,5233.52,0D62,5228.94,03,13.98,00,0,01,4.66,2F,219.07,16,102.54,A4,4.17,080F,-41.21,B9,4.13
10,0622,13.95,0614,15.51,068A,2.41,0662,6.85,05F3,19.17,0D77,5260.99,0986,3721,037F,1366,0D8E,5296.09,0D7D,5270.15,08,37.29,00,0,01,4.66,21,153.82,0C,55.93,A5,4.2,080C,-32.43,B9,4.13
20,0622,13.95,061A,14.84,068D,2.08,065E,7.3,05E8,20.39,0D96,5308.3,0A10,3931.62,03DD,1509.46,0D89,5288.46,0D7D,5270.15,1E,139.83,00,0,02,9.32,14,93.22,07,32.63,A5,4.2,080C,-32.43,B9,4.13
30,061A,14.84,0620,14.18,068F,1.86,065C,7.52,05E1,21.17,0D83,5279.3,0B32,4374.24,05E6,2304.64,0D47,5187.73,0D56,5210.62,31,228.39,00,0,01,4.66,02,9.32,05,23.31,A5,4.2,080B,-29.5,B9,4.13
40,060C,16.4,0626,13.51,0693,1.41,065F,7.18,05DF,21.39,0D69,5239.62,0C9D,4928.27,0913,3545.48,0397,1402.63,0D11,5105.31,3C,279.67,00,0,01,4.66,00,0,02,9.32,A4,4.17,080C,-32.43,B9,4.13
50,0600,17.73,0627,13.4,0695,1.19,0666,6.41,05E3,20.95,0D81,5276.25,0D6D,5245.73,0AD6,4233.82,0372,1346.15,0B76,4478.02,28,186.44,0A,46.61,01,4.66,00,0,01,4.66,A4,4.17,080B,-29.5,B9,4.13
60,05F4,19.06,0625,13.62,0697,0.97,066B,5.85,05EA,20.17,0D86,5283.88,0D82,5277.78,0D4E,5198.41,036C,1337,0ABB,4192.61,17,107.21,19,116.53,02,9.32,00,0,01,4.66,A5,4.2,080D,-35.35,B9,4.13
70,05EC,19.95,0618,15.06,0694,1.3,0671,5.19,05F0,19.5,0D67,5236.57,0D90,5299.15,0D76,5259.46,036A,1333.94,0A30,3980.46,06,27.97,22,158.48,08,37.29,00,0,01,4.66,A5,4.2,080A,-26.57,B9,4.13
80,05EB,20.06,060B,16.51,0694,1.3,0674,4.85,05F6,18.84,0C87,4894.69,0D8A,5289.99,0D76,5259.46,036A,1333.94,0983,3716.42,03,13.98,23,163.14,09,41.95,00,0,01,4.66,A4,4.17,080E,-38.28,B9,4.13
90,05EF,19.61,05FD,18.06,0693,1.41,0678,4.41,05FC,18.17,06E9,2699.94,0D6E,5247.25,0D44,5183.15,036D,1338.52,09F5,3890.42,03,13.98,2B,200.43,05,23.31,00,0,01,4.66,A4,4.17,080D,-35.35,B8,4.52
100,05FC,18.17,05EB,20.06,0697,0.97,067E,3.74,0604,17.28,0393,1396.52,0CD3,5010.68,03ED,1533.88,0373,1347.68,0BB1,4568.07,03,13.98,3E,288.99,01,4.66,00,0,01,4.66,A5,4.2,080B,-29.5,B8,4.52
110,0607,16.95,05E6,20.61,069B,0.53,0680,3.52,0607,16.95,0368,1330.89,0CE3,5035.1,0370,1343.1,03A6,1425.52,0CCD,5001.53,03,13.98,23,163.14,01,4.66,00,0,0A,46.61,A5,4.2,080E,-38.28,B8,4.52
