Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,06B7,-2.58,06B8,-2.69,06D7,-6.13,06CA,-4.69,06A0,-0.03,0363,1323.26,033E,1266.79,0346,1279,035C,1312.58,0345,1277.47,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,0791,327.76,AA,9.88
11.3,06BC,-3.14,06BB,-3.02,06DA,-6.46,06CC,-4.91,06A3,-0.36,0363,1323.26,033E,1266.79,0347,1280.53,035C,1312.58,0345,1277.47,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,0792,324.84,AA,9.88
22.6,06BF,-3.47,06BD,-3.25,06DC,-6.69,06CE,-5.13,06A5,-0.58,0362,1321.73,033D,1265.26,0346,1279,035C,1312.58,0345,1277.47,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0795,316.05,AA,9.88
33.9,06C2,-3.8,06C0,-3.58,06DF,-7.02,06D0,-5.36,06A7,-0.81,0363,1323.26,033E,1266.79,0346,1279,035C,1312.58,0345,1277.47,03,13.98,00,0,02,9.32,00,0,02,9.32,9F,4.04,0794,318.98,AA,9.88
45.2,06C6,-4.25,06C4,-4.02,06E1,-7.24,06D0,-5.36,06A9,-1.03,0362,1321.73,033E,1266.79,0345,1277.47,035C,1312.58,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0796,313.12,AA,9.88
56.5,06CA,-4.69,06C9,-4.58,06E5,-7.69,06D1,-5.47,06AA,-1.14,0363,1323.26,033D,1265.26,0346,1279,035B,1311.05,0345,1277.47,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,078E,336.55,AA,9.88
67.8,06CB,-4.8,06CD,-5.02,06E7,-7.91,06D2,-5.58,06AC,-1.36,0363,1323.26,033D,1265.26,0346,1279,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,0789,351.19,AA,9.88
79.1,06CB,-4.8,06CF,-5.24,06EA,-8.24,06D3,-5.69,06AE,-1.58,0362,1321.73,033C,1263.74,0346,1279,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0790,330.69,AA,9.88
90.4,06CB,-4.8,06D1,-5.47,06EB,-8.35,06D6,-6.02,06B1,-1.91,0362,1321.73,033C,1263.74,0345,1277.47,035B,1311.05,0344,1275.95,03,13.98,00,0,02,9.32,00,0,02,9.32,9F,4.04,0790,330.69,AA,9.88
101.7,06CF,-5.24,06D0,-5.36,06EC,-8.46,06D8,-6.24,06B5,-2.36,0362,1321.73,033C,1263.74,0345,1277.47,035A,1309.52,0345,1277.47,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0794,318.98,AA,9.88
113,06CD,-5.02,06D0,-5.36,06ED,-8.57,06DF,-7.02,06B8,-2.69,0361,1320.21,033C,1263.74,0344,1275.95,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,0792,324.84,AA,9.88
124.3,06D1,-5.47,06CF,-5.24,06EE,-8.68,06DE,-6.91,06BC,-3.14,0361,1320.21,033C,1263.74,0345,1277.47,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0795,316.05,AA,9.88
135.6,06D4,-5.8,06D0,-5.36,06F0,-8.91,06E3,-7.46,06BE,-3.36,0361,1320.21,033C,1263.74,0345,1277.47,035A,1309.52,0344,1275.95,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,0795,316.05,AA,9.88
146.9,06D8,-6.24,06D2,-5.58,06F5,-9.46,06E0,-7.13,06C0,-3.58,0361,1320.21,033B,1262.21,0346,1279,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0795,316.05,AB,9.5
158.2,06DB,-6.58,06D6,-6.02,06F8,-9.79,06E2,-7.35,06C1,-3.69,0361,1320.21,033B,1262.21,0345,1277.47,035A,1309.52,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0797,310.19,AA,9.88
169.5,06DF,-7.02,06DD,-6.8,06FA,-10.02,06E2,-7.35,06C2,-3.8,0362,1321.73,033B,1262.21,0344,1275.95,035A,1309.52,0343,1274.42,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0788,354.12,AA,9.88
