Time Stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt raw),Tbatt (℃)
0,0652,8.63,0696,1.08,0525,42.03,0697,0.97,066A,5.96,062E,2414.53,0D30,5152.63,0D12,5106.84,0D0C,5097.68,0D10,5103.79,01,4.66,25,172.46,06,27.97,04,18.64,02,9.32,A5,4.2,0810,-44.14,C1,1.07
5,0654,8.41,0695,1.19,0525,42.03,0697,0.97,066B,5.85,0628,2405.37,0D26,5137.36,0D0C,5097.68,0D00,5079.37,0D03,5083.94,01,4.66,2B,200.43,09,41.95,04,18.64,03,13.98,A5,4.2,0810,-44.14,C1,1.07
10,0656,8.18,0692,1.53,0527,41.81,0697,0.97,066C,5.74,0623,2397.74,0D36,5161.78,0D12,5106.84,0D0D,5099.21,0D10,5103.79,01,4.66,2E,214.41,06,27.97,04,18.64,02,9.32,A5,4.2,0810,-44.14,C1,1.07
15,0658,7.96,0690,1.75,0526,41.92,0697,0.97,066C,5.74,061D,2388.58,0D48,5189.26,0D18,5116,0D1D,5123.63,0D18,5116,01,4.66,31,228.39,04,18.64,03,13.98,01,4.66,A5,4.2,080E,-38.28,C1,1.07
20,065B,7.63,068D,2.08,0527,41.81,0697,0.97,066D,5.63,0616,2377.9,0D5F,5224.36,0D1C,5122.1,0D2C,5146.52,0D28,5140.42,01,4.66,34,242.38,02,9.32,03,13.98,01,4.66,A5,4.2,080E,-38.28,C1,1.07
25,065D,7.41,0689,2.52,0527,41.81,0697,0.97,066E,5.52,0610,2368.74,0D72,5253.36,0D1C,5122.1,0D39,5166.36,0D2E,5149.57,01,4.66,34,242.38,02,9.32,02,9.32,00,0,A5,4.2,080C,-32.43,C1,1.07
30,0660,7.07,0685,2.97,0528,41.7,0697,0.97,066F,5.41,0609,2358.06,0D82,5277.78,0D1C,5122.1,0D41,5178.57,0D30,5152.63,01,4.66,35,247.04,01,4.66,02,9.32,00,0,A5,4.2,080E,-38.28,C1,1.07
35,0662,6.85,0681,3.41,0528,41.7,0697,0.97,066F,5.41,0601,2345.85,0D94,5305.25,0D1B,5120.57,0D45,5184.68,0D33,5157.2,01,4.66,36,251.7,01,4.66,01,4.66,00,0,A5,4.2,080C,-32.43,C1,1.07
40,0664,6.63,067E,3.74,0528,41.7,0698,0.86,0670,5.3,05FA,2335.16,0D98,5311.36,0D19,5117.52,0D49,5190.78,0D34,5158.73,01,4.66,35,247.04,02,9.32,01,4.66,00,0,A5,4.2,080D,-35.35,C1,1.07
45,0666,6.41,0678,4.41,0528,41.7,0697,0.97,0671,5.19,05F1,2321.43,0D9D,5318.99,0D19,5117.52,0D49,5190.78,0D35,5160.26,01,4.66,35,247.04,01,4.66,01,4.66,00,0,A5,4.2,080B,-29.5,C1,1.07
50,0669,6.08,0672,5.08,0527,41.81,0697,0.97,0672,5.08,05E8,2307.69,0DA7,5334.25,0D18,5116,0D48,5189.26,0D36,5161.78,01,4.66,34,242.38,01,4.66,01,4.66,00,0,A5,4.2,080C,-32.43,C1,1.07
55,066B,5.85,066D,5.63,0528,41.7,0697,0.97,0673,4.97,05DF,2293.96,0DA8,5335.78,0D16,5112.94,0D46,5186.2,0D36,5161.78,01,4.66,34,242.38,01,4.66,01,4.66,00,0,A5,4.2,080C,-32.43,C1,1.07
60,066E,5.52,0668,6.19,052A,41.48,0698,0.86,0673,4.97,061A,2384,0DA5,5331.2,0D14,5109.89,0D46,5186.2,0D35,5160.26,01,4.66,34,242.38,01,4.66,01,4.66,00,0,A5,4.2,080D,-35.35,C1,1.07
65,0670,5.3,0662,6.85,052A,41.48,0698,0.86,0674,4.85,066F,2513.74,0DA8,5335.78,0D13,5108.36,0D45,5184.68,0D35,5160.26,01,4.66,35,247.04,01,4.66,01,4.66,00,0,A5,4.2,080A,-26.57,C1,1.07
70,0671,5.19,065D,7.41,052B,41.36,0699,0.75,0675,4.74,06A6,2597.68,0DB3,5352.56,0D11,5105.31,0D45,5184.68,0D35,5160.26,01,4.66,2F,219.07,01,4.66,01,4.66,00,0,A5,4.2,0809,-23.64,C1,1.07
75,0671,5.19,065D,7.41,052B,41.36,0699,0.75,0675,4.74,06A6,2597.68,0DB3,5352.56,0D11,5105.31,0D45,5184.68,0D35,5160.26,01,4.66,2F,219.07,01,4.66,01,4.66,00,0,A5,4.2,0809,-23.64,C1,1.07
80,0672,5.08,0650,8.85,052D,41.14,069B,0.53,0676,4.63,06E4,2692.31,0DAC,5341.88,0D0E,5100.73,0D43,5181.62,0D36,5161.78,01,4.66,30,223.73,02,9.32,01,4.66,00,0,A5,4.2,080C,-32.43,C1,1.07
85,0673,4.97,064A,9.52,052F,40.92,069A,0.64,0678,4.41,06F9,2724.36,0D60,5225.89,0D0C,5097.68,0D26,5137.36,0D24,5134.31,01,4.66,3F,293.65,02,9.32,02,9.32,01,4.66,A5,4.2,080C,-32.43,C1,1.07
90,0672,5.08,0645,10.07,0531,40.7,069B,0.53,0677,4.52,0709,2748.78,0D57,5212.15,0D09,5093.1,0D23,5132.78,0D24,5134.31,01,4.66,3F,293.65,02,9.32,02,9.32,01,4.66,A5,4.2,080B,-29.5,C1,1.07
