Time Stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt raw),Tbatt (℃)
0,06AD,-1.47,068D,2.08,053D,39.37,06D4,-5.8,06BE,-3.36,06CF,2660.26,0D13,5108.36,0D26,5137.36,0D1F,5126.68,0D27,5138.89,01,4.66,09,41.95,16,102.54,0C,55.93,0C,55.93,A5,4.2,0818,-67.57,FF,-22.68
5,06AD,-1.47,068E,1.97,053A,39.7,06D3,-5.69,06BE,-3.36,06E2,2689.26,0D00,5079.37,0D15,5111.42,0D09,5093.1,0D13,5108.36,01,4.66,0A,46.61,1C,130.51,0C,55.93,0C,55.93,A5,4.2,0815,-58.78,C3,0.3
10,06AC,-1.36,068F,1.86,0539,39.81,06D3,-5.69,06BE,-3.36,06F2,2713.68,0D01,5080.89,0D15,5111.42,0D09,5093.1,0D14,5109.89,01,4.66,0A,46.61,1C,130.51,0C,55.93,0C,55.93,A5,4.2,0815,-58.78,C3,0.3
15,06AC,-1.36,0691,1.64,0538,39.92,06D3,-5.69,06BE,-3.36,0701,2736.57,0D02,5082.42,0D12,5106.84,0D05,5087,0D11,5105.31,01,4.66,0B,51.27,1B,125.85,0B,51.27,0C,55.93,A5,4.2,0816,-61.71,C3,0.3
20,06AB,-1.25,0692,1.53,0537,40.03,06D3,-5.69,06BE,-3.36,070E,2756.41,0CFF,5077.84,0D11,5105.31,0D03,5083.94,0D10,5103.79,01,4.66,0B,51.27,1B,125.85,0B,51.27,0D,60.59,A5,4.2,0814,-55.85,C3,0.3
25,06A9,-1.03,0693,1.41,0534,40.37,06D3,-5.69,06BE,-3.36,0719,2773.2,0CFE,5076.31,0D0E,5100.73,0D00,5079.37,0D0F,5102.26,01,4.66,0C,55.93,1A,121.19,0A,46.61,0D,60.59,A5,4.2,0816,-61.71,C3,0.3
30,06A7,-0.81,0694,1.3,0533,40.48,06D4,-5.8,06BE,-3.36,0723,2788.46,0CFF,5077.84,0D0B,5096.15,0CFB,5071.73,0D0B,5096.15,01,4.66,0D,60.59,19,116.53,09,41.95,0D,60.59,A5,4.2,0812,-50,C3,0.3
35,06A5,-0.58,0696,1.08,0531,40.7,06D4,-5.8,06BE,-3.36,072C,2802.2,0D07,5090.05,0D12,5106.84,0D04,5085.47,0D13,5108.36,01,4.66,0D,60.59,16,102.54,08,37.29,0D,60.59,A5,4.2,0815,-58.78,C3,0.3
40,06A2,-0.25,0697,0.97,0531,40.7,06D3,-5.69,06BE,-3.36,0733,2812.88,0CDF,5029,0CEE,5051.89,0CD7,5016.79,0CEB,5047.31,01,4.66,0F,69.92,24,167.8,08,37.29,0F,69.92,A5,4.2,0817,-64.64,C3,0.3
45,069F,0.08,0698,0.86,0530,40.81,06D5,-5.91,06BE,-3.36,0739,2822.04,0D07,5090.05,0D11,5105.31,0CFD,5074.79,0D14,5109.89,01,4.66,0E,65.26,16,102.54,07,32.63,0E,65.26,A5,4.2,0816,-61.71,C3,0.3
50,069B,0.53,0698,0.86,052E,41.03,06D6,-6.02,06BD,-3.25,073E,2829.67,0CDA,5021.37,0CE9,5044.26,0CCF,5004.58,0CE7,5041.21,01,4.66,10,74.58,23,163.14,07,32.63,10,74.58,A5,4.2,0818,-67.57,C3,0.3
55,0697,0.97,0699,0.75,052E,41.03,06D6,-6.02,06BD,-3.25,0743,2837.3,0CF4,5061.05,0D01,5080.89,0CEA,5045.79,0D05,5087,01,4.66,0F,69.92,18,111.87,06,27.97,0F,69.92,A5,4.2,0816,-61.71,C3,0.3
60,0692,1.53,0699,0.75,052D,41.14,06D7,-6.13,06BE,-3.36,0747,2843.41,0CF5,5062.58,0CFF,5077.84,0CE5,5038.16,0D03,5083.94,01,4.66,10,74.58,18,111.87,05,23.31,0F,69.92,A5,4.2,0817,-64.64,C3,0.3
65,068C,2.19,069A,0.64,052E,41.03,06D8,-6.24,06BD,-3.25,074A,2847.99,0CF2,5058,0CFC,5073.26,0CE1,5032.05,0D00,5079.37,01,4.66,0F,69.92,18,111.87,05,23.31,10,74.58,A5,4.2,0816,-61.71,C3,0.3
70,0688,2.63,069A,0.64,052D,41.14,06D9,-6.35,06BD,-3.25,074C,2851.04,0CEF,5053.42,0CFA,5070.21,0CDD,5025.95,0CFC,5073.26,01,4.66,0F,69.92,18,111.87,04,18.64,10,74.58,A5,4.2,0817,-64.64,C3,0.3
75,0683,3.19,069A,0.64,052D,41.14,06DA,-6.46,06BE,-3.36,074E,2854.09,0CED,5050.37,0CF7,5065.63,0CD6,5015.26,0CF8,5067.16,01,4.66,0F,69.92,19,116.53,04,18.64,11,79.24,A5,4.2,0813,-52.92,C3,0.3
80,067D,3.86,069A,0.64,052D,41.14,06DB,-6.58,06BE,-3.36,074F,2855.62,0CE6,5039.68,0CF2,5058,0CCE,5003.05,0CF9,5068.68,01,4.66,0F,69.92,19,116.53,03,13.98,10,74.58,A5,4.2,0815,-58.78,C3,0.3
85,0678,4.41,069B,0.53,052D,41.14,06DB,-6.58,06BD,-3.25,074F,2855.62,0CE5,5038.16,0CF2,5058,0CCC,5000,0CF5,5062.58,01,4.66,0F,69.92,1A,121.19,03,13.98,10,74.58,A5,4.2,0817,-64.64,C3,0.3
90,0672,5.08,069B,0.53,052E,41.03,06DD,-6.8,06BE,-3.36,0751,2858.67,0CE2,5033.58,0CED,5050.37,0CC4,4987.79,0CF0,5054.95,01,4.66,0E,65.26,1B,125.85,02,9.32,10,74.58,A5,4.2,0817,-64.64,C3,0.3
95,066C,5.74,069C,0.42,052F,40.92,06DE,-6.91,06BE,-3.36,0751,2858.67,0CDE,5027.47,0CEB,5047.31,0CC3,4986.26,0CF0,5054.95,01,4.66,0F,69.92,1A,121.19,02,9.32,10,74.58,A5,4.2,0816,-61.71,C3,0.3
100,0666,6.41,069C,0.42,052F,40.92,06DF,-7.02,06BE,-3.36,0751,2858.67,0CDF,5029,0CEB,5047.31,0CC6,4990.84,0CF0,5054.95,01,4.66,0F,69.92,1B,125.85,03,13.98,10,74.58,A5,4.2,0816,-61.71,C3,0.3
105,0660,7.07,069D,0.3,0530,40.81,06E0,-7.13,06BE,-3.36,0751,2858.67,0CDF,5029,0CEC,5048.84,0CCA,4996.95,0CEC,5048.84,01,4.66,0F,69.92,19,116.53,04,18.64,0F,69.92,A5,4.2,0817,-64.64,C3,0.3
110,065A,7.74,069D,0.3,0531,40.7,06E1,-7.24,06BE,-3.36,074D,2852.56,0CE3,5035.1,0CEF,5053.42,0CD4,5012.21,0CF0,5054.95,01,4.66,10,74.58,19,116.53,05,23.31,0E,65.26,A5,4.2,0813,-52.92,C3,0.3
115,0655,8.29,069D,0.3,0532,40.59,06E1,-7.24,06BE,-3.36,074B,2849.51,0CE9,5044.26,0CF1,5056.47,0CDC,5024.42,0CF2,5058,01,4.66,10,74.58,18,111.87,06,27.97,0D,60.59,A5,4.2,0815,-58.78,C3,0.3
120,064F,8.96,069E,0.19,0532,40.59,06E3,-7.46,06BE,-3.36,0749,2846.46,0CF0,5054.95,0CF5,5062.58,0CE6,5039.68,0CFB,5071.73,01,4.66,11,79.24,16,102.54,08,37.29,0D,60.59,A5,4.2,0814,-55.85,C3,0.3
125,064A,9.52,069D,0.3,0534,40.37,06E3,-7.46,06BE,-3.36,0745,2840.35,0CF6,5064.1,0CFC,5073.26,0CF3,5059.52,0D01,5080.89,01,4.66,11,79.24,15,97.88,0A,46.61,0C,55.93,A5,4.2,0818,-67.57,C3,0.3
